PLAYERS,TEAM,POS,AGE,GP,G,A,PTS,PPG,CAP %,CAPHIT,CPP
"Batherson, Drake",OTT,"RW, LW",28,79,33,38,71,0.9,0.0521,4975000,70070.42253521127
"Garland, Conor",CBJ,RW,30,50,7,19,26,0.52,0.0518,4950000,190384.61538461538
"Coleman, Blake",CGY,"RW, LW",34,69,20,15,35,0.51,0.0513,4900000,140000.0
"DeMelo, Dylan",WPG,RD,33,82,3,16,19,0.23,0.0513,4900000,257894.73684210525
"Matheson, Mike",MTL,LD,32,78,7,30,37,0.47,0.051,4875000,131756.75675675675
"Kotkaniemi, Jesperi",CAR,"C, RW, LW",25,42,2,7,9,0.21,0.0505,4820000,535555.5555555555
"Chiarot, Ben",DET,LD,35,82,5,10,15,0.18,0.0497,4750000,316666.6666666667
"Eberle, Jordan",SEA,RW,36,80,26,29,55,0.69,0.0497,4750000,86363.63636363637
"Luukkonen, Ukko-Pekka",BUF,G,27,35,0,1,0,0.0,0.0497,4750000,4750000.0
"Mikheyev, Ilya",CHI,RW,31,77,18,18,36,0.47,0.0497,4750000,131944.44444444444
"Palmieri, Kyle",NYI,"RW, C",35,25,6,12,18,0.72,0.0497,4750000,263888.8888888889
"Tarasenko, Vladimir",MIN,"RW, LW",34,75,23,24,47,0.63,0.0497,4750000,101063.82978723405
"Tuch, Alex",BUF,RW,30,79,33,33,66,0.84,0.0497,4750000,71969.69696969698
"Vejmelka, Karel",UTA,G,29,64,0,2,0,0.0,0.0497,4750000,4750000.0
"Zacha, Pavel",BOS,C,29,78,30,35,65,0.83,0.0497,4750000,73076.92307692308
"Zucker, Jason",BUF,LW,34,62,24,21,45,0.73,0.0497,4750000,105555.55555555556
"Oleksiak, Jamie",SEA,"RD, LD",33,78,5,10,15,0.19,0.0482,4600000,306666.6666666667
"Sandin, Rasmus",WSH,"LD, RD",26,73,5,24,29,0.4,0.0482,4600000,158620.6896551724
"Vlasic, Alex",CHI,LD,24,81,2,19,21,0.26,0.0482,4600000,219047.61904761905
"Zub, Artem",OTT,RD,30,81,5,25,30,0.37,0.0482,4600000,153333.33333333334
"Broberg, Philip",STL,LD,24,81,6,28,34,0.42,0.048,4580917,134732.85294117648
"Vatrano, Frank",ANA,"LW, RW",32,50,5,4,9,0.18,0.0479,4571189,507909.8888888889
"Andersson, Rasmus",VGK,RD,29,48,10,20,30,0.63,0.0476,4550000,151666.66666666666
"Kakko, Kaapo",SEA,"RW, LW",25,65,13,27,40,0.62,0.0474,4525000,113125.0
"Backlund, Mikael",CGY,C,37,82,17,26,43,0.52,0.0471,4500000,104651.16279069768
"Bunting, Michael",DAL,LW,30,61,13,18,31,0.51,0.0471,4500000,145161.29032258064
"Ceci, Cody",LAK,RD,32,82,1,8,9,0.11,0.0471,4500000,500000.0
"Duchene, Matt",DAL,"C, LW",35,57,16,29,45,0.79,0.0471,4500000,100000.0
"Foligno, Nick",MIN,"C, LW, RW",38,37,3,8,11,0.3,0.0471,4500000,409090.9090909091
"Graves, Ryan",PIT,LD,31,22,1,0,1,0.05,0.0471,4500000,4500000.0
"Knight, Spencer",CHI,G,25,55,0,1,0,0.0,0.0471,4500000,4500000.0
