PLAYERS,TEAM,POS,AGE,GP,G,A,PTS,PPG,CAP %,CAPHIT,CPP
"Namestnikov, Vladislav",WPG,"C, RW, LW",33,60,8,6,14,0.23,0.0314,3000000,214285.7142857143
"Olivier, Mathieu",CBJ,RW,29,61,15,11,26,0.43,0.0314,3000000,115384.61538461539
"Roy, Nicolas",COL,"C, RW",29,59,5,15,20,0.34,0.0314,3000000,150000.0
"van Riemsdyk, Trevor",WSH,RD,34,68,3,11,14,0.21,0.0314,3000000,214285.7142857143
"Staal, Jordan",CAR,C,37,75,20,16,36,0.48,0.0306,2918750,81076.38888888889
"Appleton, Mason",DET,"RW, C",30,65,6,8,14,0.22,0.0304,2900000,207142.85714285713
"Newhook, Alex",MTL,"LW, C",25,42,13,12,25,0.6,0.0304,2900000,116000.0
"Sissons, Colton",VGK,"C, RW",32,66,6,5,11,0.17,0.0299,2857143,259740.27272727274
"Evans, Jake",MTL,"C, LW",29,68,12,12,24,0.35,0.0298,2850000,118750.0
"Cole, Ian",UTA,LD,37,82,3,20,23,0.28,0.0293,2800000,121739.13043478261
"Andersen, Frederik",CAR,G,36,35,0,1,0,0.0,0.0288,2750000,2750000.0
"Beauvillier, Anthony",WSH,"RW, LW",28,82,15,13,28,0.34,0.0288,2750000,98214.28571428571
"Kulak, Brett",COL,LD,32,31,0,2,2,0.06,0.0288,2750000,1375000.0
"Noesen, Stefan",NJD,"RW, LW",33,38,3,4,7,0.18,0.0288,2750000,392857.14285714284
"Peeke, Andrew",BOS,RD,28,77,5,9,14,0.18,0.0288,2750000,196428.57142857142
"Perbix, Nick",NSH,"RD, LD",27,79,3,10,13,0.16,0.0288,2750000,211538.46153846153
"Schenn, Luke",BUF,RD,36,46,1,6,7,0.15,0.0288,2750000,392857.14285714284
"Soderblom, Arvid",CHI,G,26,26,0,0,0,0.0,0.0288,2750000,2750000.0
"Varlamov, Semyon",NYI,G,38,0,0,0,0,0.0,0.0288,2750000,2750000.0
"Whitecloud, Zach",CGY,RD,29,47,2,5,7,0.15,0.0288,2750000,392857.14285714284
"Seeler, Nick",PHI,LD,32,80,4,6,10,0.13,0.0283,2700000,270000.0
"Fehervary, Martin",WSH,LD,26,81,5,22,27,0.33,0.028,2675000,99074.07407407407
"Hayton, Barrett",UTA,C,25,67,10,15,25,0.37,0.0277,2650000,106000.0
"Amadio, Michael",OTT,"LW, RW",30,81,15,20,35,0.43,0.0272,2600000,74285.71428571429
"Skinner, Stuart",PIT,G,27,23,0,0,0,0.0,0.0272,2600000,2600000.0
"Roy, Matt",WSH,RD,31,79,2,17,19,0.24,0.0264,2525000,132894.73684210525
"Armia, Joel",LAK,"RW, LW",32,67,13,12,25,0.37,0.0262,2500000,100000.0
"Cizikas, Casey",NYI,C,35,81,10,8,18,0.22,0.0262,2500000,138888.88888888888
"Glass, Cody",NJD,C,27,70,19,7,26,0.37,0.0262,2500000,96153.84615384616
"Howden, Brett",VGK,"LW, C",28,58,12,10,22,0.38,0.0262,2500000,113636.36363636363
"Kolesar, Keegan",VGK,RW,29,82,6,11,17,0.21,0.0262,2500000,147058.82352941178
"Mantha, Anthony",PIT,"LW, RW",31,81,33,31,64,0.79,0.0262,2500000,39062.5
"Mikkola, Niko",FLA,LD,30,68,3,8,11,0.16,0.0262,2500000,227272.72727272726
"Nedeljkovic, Alex",SJS,G,30,40,0,1,0,0.0,0.0262,2500000,2500000.0
"O'Connor, Drew",VAN,"LW, RW",27,82,17,12,29,0.35,0.0262,2500000,86206.89655172414
"O'Connor, Logan",COL,RW,29,13,0,2,2,0.15,0.0262,2500000,1250000.0
"Stolarz, Anthony",TOR,G,32,26,0,0,0,0.0,0.0262,2500000,2500000.0
"Talbot, Cam",DET,G,38,34,0,1,0,0.0,0.0262,2500000,2500000.0
"Tanev, Brandon",UTA,"LW, RW",34,56,0,3,3,0.05,0.0262,2500000,833333.3333333334
"Wood, Miles",CBJ,"RW, LW",30,54,8,6,14,0.26,0.0262,2500000,178571.42857142858
"Hathaway, Garnet",PHI,RW,34,66,1,2,3,0.05,0.0251,2400000,800000.0
"Gourde, Yanni",TBL,C,34,82,9,19,28,0.34,0.0244,2333333,83333.32142857143
"Drysdale, Jamie",PHI,RD,24,78,8,24,32,0.41,0.0241,2300000,71875.0
"Holloway, Dylan",STL,LW,24,59,22,29,51,0.86,0.024,2290457,44910.92156862745
"Forsberg, Anton",LAK,G,33,36,0,0,0,0.0,0.0236,2250000,2250000.0
"Heinen, Danton",CBJ,"RW, LW",30,13,1,1,2,0.15,0.0236,2250000,1125000.0
"Sillinger, Cole",CBJ,"LW, RW, C",23,81,8,25,33,0.41,0.0236,2250000,68181.81818181818
"Tsyplakov, Maxim",NJD,"RW, LW",27,27,1,1,2,0.07,0.0236,2250000,1125000.0
"Husso, Ville",ANA,G,31,20,0,0,0,0.0,0.023,2200000,2200000.0
"Schneider, Braden",NYR,"RD, LD",24,82,2,16,18,0.22,0.023,2200000,122222.22222222222
"Timmins, Conor",BUF,"RD, LD",27,39,0,8,8,0.21,0.023,2200000,275000.0
"Wallstedt, Jesper",MIN,G,23,35,0,1,0,0.0,0.023,2200000,2200000.0
"Chinakhov, Yegor",PIT,"LW, RW",25,29,3,3,6,0.21,0.022,2100000,350000.0
"Gaudreau, Frederick",SEA,"C, RW",33,68,7,17,24,0.35,0.022,2100000,87500.0
"Jarnkrok, Calle",TOR,"RW, C",34,56,6,2,8,0.14,0.022,2100000,262500.0
"McMichael, Connor",WSH,"LW, C",25,78,14,32,46,0.59,0.022,2100000,45652.17391304348
"Steel, Sam",DAL,"LW, C",28,73,12,21,33,0.45,0.022,2100000,63636.36363636364
"Carrier, William",CAR,LW,31,70,7,11,18,0.26,0.0215,2050000,113888.88888888889
"Evans, Ryker",SEA,"LD, RD",24,67,8,9,17,0.25,0.0215,2050000,120588.23529411765
"Acciari, Noel",PIT,"RW, C",34,67,13,12,25,0.37,0.0209,2000000,80000.0
"Askarov, Yaroslav",SJS,G,23,47,0,0,0,0.0,0.0209,2000000,2000000.0
"Desharnais, Vincent",SJS,RD,29,53,1,6,7,0.13,0.0209,2000000,285714.28571428574
"Faksa, Radek",DAL,C,32,58,2,15,17,0.29,0.0209,2000000,117647.05882352941
"Forbort, Derek",VAN,LD,34,2,0,0,0,0.0,0.0209,2000000,2000000.0
"Gaudette, Adam",SJS,"RW, C, LW",29,66,17,8,25,0.38,0.0209,2000000,80000.0
"Giroux, Claude",OTT,RW,38,82,14,35,49,0.6,0.0209,2000000,40816.32653061225
"Gustafsson, Erik",DET,LD,34,2,0,0,0,0.0,0.0209,2000000,2000000.0
"Hart, Carter",VGK,G,27,18,0,0,0,0.0,0.0209,2000000,2000000.0
"Kochetkov, Pyotr",CAR,G,26,9,0,0,0,0.0,0.0209,2000000,2000000.0
"Lafferty, Sam",CHI,"RW, C",31,29,1,1,2,0.07,0.0209,2000000,1000000.0
"Lauzon, Jeremy",VGK,LD,29,68,1,12,13,0.19,0.0209,2000000,153846.15384615384
"Lomberg, Ryan",CGY,LW,31,57,4,5,9,0.16,0.0209,2000000,222222.22222222222
"Perry, Corey",TBL,"RW, LW",41,50,11,17,28,0.56,0.0209,2000000,71428.57142857143
"Saad, Brandon",VGK,LW,33,49,3,6,9,0.18,0.0209,2000000,222222.22222222222
"Smith, Reilly",VGK,"LW, RW",35,69,16,10,26,0.38,0.0209,2000000,76923.07692307692
"Stenlund, Kevin",UTA,C,29,80,4,14,18,0.23,0.0209,2000000,111111.11111111111
"Sturm, Nico",MIN,"C, LW",31,49,5,6,11,0.22,0.0209,2000000,181818.18181818182
"Toews, Jonathan",WPG,C,38,82,11,18,29,0.35,0.0209,2000000,68965.5172413793
"Valimaki, Juuso",CAR,"LD, RD",27,0,0,0,0,0.0,0.0209,2000000,2000000.0
"Ingram, Connor",EDM,G,29,32,0,2,0,0.0,0.0204,1950000,1950000.0
"Milano, Sonny",WSH,"LW, RW",30,31,4,4,8,0.26,0.0199,1900000,237500.0
"Poehling, Ryan",ANA,C,27,75,11,25,36,0.48,0.0199,1900000,52777.77777777778
"Barron, Morgan",WPG,"C, LW",27,65,11,12,23,0.35,0.0194,1850000,80434.78260869565
"Duhaime, Brandon",WSH,LW,28,82,4,5,9,0.11,0.0194,1850000,205555.55555555556
"Kuraly, Sean",BOS,C,33,82,6,16,22,0.27,0.0194,1850000,84090.90909090909
"Lizotte, Blake",PIT,C,28,55,7,12,19,0.35,0.0194,1850000,97368.42105263157
"Dorofeyev, Pavel",VGK,"RW, LW",25,82,37,27,64,0.78,0.0192,1835000,28671.875
"Berggren, Jonatan",STL,"RW, LW",25,15,2,4,6,0.4,0.0191,1825000,304166.6666666667
"Robertson, Nicholas",TOR,"RW, LW",24,78,16,16,32,0.41,0.0191,1825000,57031.25
"Allen, Jake",NJD,G,35,37,0,1,0,0.0,0.0188,1800000,1800000.0
"Blueger, Teddy",VAN,C,31,35,9,8,17,0.49,0.0188,1800000,105882.35294117648
"Danforth, Justin",BUF,"RW, LW, C",33,4,0,0,0,0.0,0.0188,1800000,1800000.0
"Grundstrom, Carl",PHI,"LW, RW, C",28,47,9,4,13,0.28,0.0188,1800000,138461.53846153847
"Johnson, Kent",CBJ,"RW, LW, C",23,76,7,15,22,0.29,0.0188,1800000,81818.18181818182
"Bean, Jake",CGY,"LD, RD",27,16,1,1,2,0.13,0.0183,1750000,875000.0
"Bjugstad, Nick",NJD,"C, RW",33,35,6,1,7,0.2,0.0183,1750000,250000.0
"DeAngelo, Tony",NYI,RD,30,76,5,30,35,0.46,0.0183,1750000,50000.0
"Deslauriers, Nicolas",CAR,"LW, RW",35,24,0,1,1,0.04,0.0183,1750000,1750000.0
"Hanley, Joel",CGY,LD,34,68,0,7,7,0.1,0.0183,1750000,250000.0
"Tomasino, Philip",PHI,RW,24,9,0,1,1,0.11,0.0183,1750000,1750000.0
"Drury, Jack",COL,C,26,82,10,17,27,0.33,0.0181,1725000,63888.88888888889
"Kaiser, Wyatt",CHI,LD,23,77,6,11,17,0.22,0.0178,1700000,100000.0
"Robinson, Eric",CAR,"RW, LW",30,67,12,6,18,0.27,0.0178,1700000,94444.44444444444
"Toropchenko, Alexey",STL,"LW, RW",26,65,4,7,11,0.17,0.0178,1700000,154545.45454545456
"Chisholm, Declan",WSH,"LD, RD",26,26,1,6,7,0.27,0.0168,1600000,228571.42857142858
"Kleven, Tyler",OTT,LD,24,70,3,15,18,0.26,0.0168,1600000,88888.88888888889
"Olofsson, Victor",CGY,"RW, LW",30,60,11,14,25,0.42,0.0165,1575000,63000.0
"Kastelic, Mark",BOS,"RW, C",27,82,12,10,22,0.27,0.0164,1566667,71212.13636363637
"Holmberg, Pontus",TBL,"RW, LW",27,70,11,11,22,0.31,0.0162,1550000,70454.54545454546
"Quick, Jonathan",NYR,G,40,25,0,1,0,0.0,0.0162,1550000,1550000.0
"Vaakanainen, Urho",NYR,"LD, RD",27,34,0,6,6,0.18,0.0162,1550000,258333.33333333334
"Boqvist, Jesper",FLA,"LW, RW, C",27,73,4,9,13,0.18,0.0157,1500000,115384.61538461539
"Brazeau, Justin",PIT,RW,28,64,17,17,34,0.53,0.0157,1500000,44117.64705882353
"Brink, Bobby",MIN,RW,24,55,13,13,26,0.47,0.0157,1500000,57692.307692307695
"Lyon, Alex",BUF,G,33,36,0,1,0,0.0,0.0157,1500000,1500000.0
"Miller, Colin",WPG,"RD, LD",33,18,0,2,2,0.11,0.0157,1500000,750000.0
"Raddysh, Taylor",NYR,"RW, LW",28,68,9,10,19,0.28,0.0157,1500000,78947.36842105263
"Roslovic, Jack",EDM,"RW, C",29,69,21,15,36,0.52,0.0157,1500000,41666.666666666664
"Sherwood, Kiefer",SJS,"RW, LW",31,44,17,6,23,0.52,0.0157,1500000,65217.391304347824
"Spence, Jordan",OTT,RD,25,73,7,24,31,0.42,0.0157,1500000,48387.096774193546
"Sundqvist, Oskar",STL,"C, RW",32,52,5,12,17,0.33,0.0157,1500000,88235.29411764706
"Vanecek, Vitek",UTA,G,30,22,0,1,0,0.0,0.0157,1500000,1500000.0
"Wedgewood, Scott",COL,G,33,45,0,1,0,0.0,0.0157,1500000,1500000.0
"Ersson, Samuel",PHI,G,26,33,0,1,0,0.0,0.0152,1450000,1450000.0
"Eyssimont, Michael",BOS,"RW, LW, C",29,56,8,10,18,0.32,0.0152,1450000,80555.55555555556
"Janmark, Mattias",EDM,"LW, RW, C",33,43,1,7,8,0.19,0.0152,1450000,181250.0
"Krebs, Peyton",BUF,"LW, C",25,82,12,27,39,0.48,0.0152,1450000,37179.48717948718
"Struble, Jayden",MTL,"LD, RD",24,59,2,10,12,0.2,0.0148,1412500,117708.33333333333
"Kesselring, Michael",BUF,RD,26,34,0,2,2,0.06,0.0147,1400000,700000.0
"Malinski, Sam",COL,"RD, LD",27,82,8,32,40,0.49,0.0147,1400000,35000.0
"Benoit, Simon",TOR,LD,27,73,0,6,6,0.08,0.0141,1350000,225000.0
"Lorentz, Steven",TOR,"LW, RW, C",30,71,7,11,18,0.25,0.0141,1350000,75000.0
"Malenstyn, Beck",BUF,"RW, LW",28,81,7,7,14,0.17,0.0141,1350000,96428.57142857143
"McMann, Bobby",SEA,"LW, RW, C",29,60,19,13,32,0.53,0.0141,1350000,42187.5
"Reaves, Ryan",SJS,RW,39,50,3,0,3,0.06,0.0141,1350000,450000.0
"Dellandrea, Ty",SJS,C,25,46,2,9,11,0.24,0.0136,1300000,118181.81818181818
"Emberson, Ty",EDM,RD,25,72,2,10,12,0.17,0.0136,1300000,108333.33333333333
"Kapanen, Kasperi",EDM,RW,29,41,8,9,17,0.41,0.0136,1300000,76470.58823529411
"Lundestrom, Isac",CBJ,"C, RW, LW",26,68,4,8,12,0.18,0.0136,1300000,108333.33333333333
"Xhekaj, Arber",MTL,"LD, RD",25,65,1,3,4,0.06,0.0136,1300000,325000.0
"Benning, Matt",TOR,RD,31,1,0,0,0,0.0,0.0131,1250000,1250000.0
"Bogosian, Zach",MIN,"RD, LD",35,41,2,4,6,0.15,0.0131,1250000,208333.33333333334
"Eller, Lars",OTT,C,37,68,5,10,15,0.22,0.0131,1250000,83333.33333333333
"Johansson, Jonas",TBL,G,30,25,0,0,0,0.0,0.0131,1250000,1250000.0
"Kartye, Tye",NYR,LW,25,40,3,5,8,0.2,0.0131,1250000,156250.0
"Kiviranta, Joel",COL,"RW, LW",30,51,3,6,9,0.18,0.0131,1250000,138888.88888888888
"Klapka, Adam",CGY,RW,25,79,6,12,18,0.23,0.0131,1250000,69444.44444444444
"Lundkvist, Nils",DAL,RD,25,52,3,8,11,0.21,0.0131,1250000,113636.36363636363
"Miromanov, Daniil",CGY,RD,28,1,0,0,0,0.0,0.0131,1250000,1250000.0
"Parssinen, Juuso",NYR,"LW, C, RW",25,20,2,1,3,0.15,0.0131,1250000,416666.6666666667
"Stanley, Logan",BUF,LD,27,59,9,12,21,0.36,0.0131,1250000,59523.80952380953
"Goncalves, Gage",TBL,"RW, LW, C",25,74,11,22,33,0.45,0.0126,1200000,36363.63636363636
"Kurashev, Philipp",SJS,"LW, RW, C",26,43,7,13,20,0.47,0.0126,1200000,60000.0
"Reichel, Lukas",BOS,"C, LW, RW",24,5,2,2,4,0.8,0.0126,1200000,300000.0
"Pachal, Brayden",CGY,"RD, LD",26,39,1,6,7,0.18,0.0124,1187500,169642.85714285713
"Kulikov, Dmitry",FLA,"LD, RD",35,19,0,0,0,0.0,0.0121,1152500,1152500.0
"Barron, Justin",NSH,"RD, LD",24,52,0,9,9,0.17,0.012,1150000,127777.77777777778
"Davies, Jeremy",VGK,LD,29,0,0,0,0,0.0,0.012,1150000,1150000.0
"Kahkonen, Kaapo",MTL,G,29,0,0,0,0,0.0,0.012,1150000,1150000.0
"MacDermid, Kurtis",OTT,"LW, RW",32,19,0,1,1,0.05,0.012,1150000,1150000.0
"Johansson, Albert",DET,LD,25,82,3,8,11,0.13,0.0118,1125000,102272.72727272728
"Soderblom, Elmer",PIT,LW,24,39,2,1,3,0.08,0.0118,1125000,375000.0
"Burroughs, Kyle",LAK,"RD, LD",30,0,0,0,0,0.0,0.0115,1100000,1100000.0
"Dewar, Connor",PIT,"LW, C",26,78,14,16,30,0.38,0.0115,1100000,36666.666666666664
"Heineman, Emil",NYI,"RW, LW",24,82,22,9,31,0.38,0.0115,1100000,35483.87096774193
"Helleson, Drew",ANA,RD,25,60,2,13,15,0.25,0.0115,1100000,73333.33333333333
"Johnston, Ross",ANA,LW,32,62,3,11,14,0.23,0.0115,1100000,78571.42857142857
"Kampf, David",WSH,C,31,38,2,4,6,0.16,0.0115,1100000,183333.33333333334
"Reilly, Mike",CAR,"LD, RD",32,42,1,8,9,0.21,0.0115,1100000,122222.22222222222
"Merilainen, Leevi",OTT,G,23,20,0,0,0,0.0,0.011,1050000,1050000.0
"Tarasov, Daniil",FLA,G,27,33,0,0,0,0.0,0.011,1050000,1050000.0
"DeSmith, Casey",DAL,G,34,30,0,0,0,0.0,0.0106,1016667,1016667.0
"Benn, Jamie",DAL,"RW, LW",36,60,15,21,36,0.6,0.0105,1000000,27777.777777777777
"Brown, Josh",EDM,"RD, LD",32,0,0,0,0,0.0,0.0105,1000000,1000000.0
"Burns, Brent",COL,RD,41,82,12,23,35,0.43,0.0105,1000000,28571.428571428572
"Carrick, Sam",BUF,C,34,60,4,6,10,0.17,0.0105,1000000,100000.0
"Dadonov, Evgenii",NJD,"LW, RW",37,24,1,0,1,0.04,0.0105,1000000,1000000.0
"Grzelcyk, Matt",CHI,LD,32,69,0,12,12,0.17,0.0105,1000000,83333.33333333333
"Hamonic, Travis",DET,RD,35,26,0,2,2,0.08,0.0105,1000000,500000.0
"Jones, Max",EDM,"LW, RW",28,21,3,2,5,0.24,0.0105,1000000,200000.0
"Koepke, Cole",WPG,LW,28,66,8,9,17,0.26,0.0105,1000000,58823.529411764706
"Mukhamadullin, Shakir",SJS,"RD, LD",24,50,5,7,12,0.24,0.0105,1000000,83333.33333333333
"Murray, Matt",SEA,G,31,5,0,0,0,0.0,0.0105,1000000,1000000.0
"O'Brien, Liam",UTA,"LW, RW, C",31,38,3,1,4,0.11,0.0105,1000000,250000.0
"Pearson, Tanner",BUF,"RW, LW",33,52,7,6,13,0.25,0.0105,1000000,76923.07692307692
"Pickard, Calvin",EDM,G,34,16,0,0,0,0.0,0.0105,1000000,1000000.0
"Podkolzin, Vasily",EDM,"LW, RW",24,82,19,18,37,0.45,0.0105,1000000,27027.027027027027
"Pospisil, Martin",CGY,"C, RW, LW",26,22,1,2,3,0.14,0.0105,1000000,333333.3333333333
"Rittich, David",NYI,G,33,30,0,0,0,0.0,0.0105,1000000,1000000.0
"Smith, Cole",VGK,"LW, RW",30,42,6,4,10,0.24,0.0105,1000000,100000.0
"Texier, Alexandre",MTL,"LW, RW",26,8,0,1,1,0.13,0.0105,1000000,1000000.0
"Thrun, Henry",TOR,RD,25,4,0,0,0,0.0,0.0105,1000000,1000000.0
"van Riemsdyk, James",DET,"LW, RW",37,72,15,16,31,0.43,0.0105,1000000,32258.064516129034
"Wotherspoon, Parker",PIT,LD,28,80,3,27,30,0.38,0.0105,1000000,33333.333333333336
"Zamula, Egor",CBJ,"LD, RD",26,13,0,1,1,0.08,0.0105,1000000,1000000.0
